#Time	vx	vy	vz
93.473520634	154.518012547771	-1.62308836709812	-201.587575193627
93.478754414	164.699287188365	-1.52853166764193	-193.35925595664
93.484910874	176.075240653757	-1.62431033813398	-183.059775107736
93.491423254	187.335678202759	-1.53553834592502	-171.519633239738
93.498483794	198.143344458535	-1.55795338745036	-158.911245519999
93.505400644	208.331827349155	-1.59031929274204	-145.297353564122
93.514134714	218.91280709763	-1.48842389763011	-128.805914218009
93.519108754	226.978563493082	-1.60835120278588	-113.99189149741
93.523970104	232.239920088072	-1.43992864536407	-102.852046097464
93.529601144	237.433853272628	-1.59828323070585	-90.214209022062
93.538603094	243.614046032723	-1.5552196281162	-71.8733642422116
93.547497434	248.697318498741	-1.57403366138396	-51.6058178982472
93.551844904	251.640551483838	-1.61013149943908	-34.5028178451347
93.560551234	253.378950733186	-1.4931669807492	-17.6882857719445
93.564866584	253.976964103972	-1.62211564664896	-3.01250048663591
93.569412314	253.864895038744	-1.5399083754512	8.13951569881727
93.574047954	253.039275664827	-1.72575806080076	22.0034152752032
93.583199114	251.115925076974	-1.52986203267118	38.1372749572938
93.587838894	248.071946468185	-1.72421856797949	54.5284122123815
93.592536494	245.444168795767	-1.49012071254973	65.3524369647012
93.597302644	241.704976835557	-1.67850678358082	78.050565436482
93.602164554	237.560714245313	-1.43976190451661	89.882278896278
93.610771834	231.315789504258	-1.62652991113023	104.911179267879
93.618591614	222.001016907883	-1.66245001140672	123.404943154441
93.626236654	212.5562538301	-1.56964618213003	139.044490967014
93.631772294	202.325441918508	-1.62582944398807	153.550558598866
93.637539894	193.494694500312	-1.56044108468	164.539843262362
93.642658234	183.848561927168	-1.56300583997647	175.252029807304
93.648754494	174.697158784462	-1.64034890877397	184.37521734623
93.654520314	163.029857877859	-1.560924171171	194.768649358331
93.660544164	151.066053216752	-1.49405986697893	204.188181820446
93.665361884	140.315510634294	-1.66053858738721	211.718669891985
93.670550954	129.117474354286	-1.54170118632031	218.728855809119
93.675476604	117.953975617429	-1.62415112726293	224.944931125842
93.684252734	102.892768074116	-1.59523671432692	232.220887414231
93.689864384	86.0708956879558	-1.60380550971351	238.967020947305
93.694482164	74.7112895904866	-1.73243570064955	242.757552553436
93.698937664	62.3946949247283	-1.57108944055029	246.212159469171
93.707977534	45.4652606138431	-1.54869500874436	249.893001768057
93.716810844	24.6793216492237	-1.58491056462844	252.793235058311
93.725736224	0.448160140165521	-1.5685604905833	253.994759439402
93.734763524	-21.0472630692977	-1.66162603178675	253.121032175505
93.739313114	-37.3660536875432	-1.53860221066319	251.231760969794
93.743848594	-50.4908081373574	-1.54338714830295	248.926298633505
93.748544724	-61.752962172476	-1.70352999096547	246.373024943301
93.753234374	-72.9264110674172	-1.49264584056067	243.30127201146
93.757988334	-83.7197483527395	-1.68280901211595	239.800284226442
93.762839194	-94.8286436102518	-1.64919380191794	235.628564448948
93.767784104	-106.169735679821	-1.41559647573059	230.742225544156
93.772853934	-117.360798258563	-1.77520535181026	225.253834640804
93.778040884	-129.941613030407	-1.54233368582136	218.24021654365
93.783746324	-141.093313684265	-1.57744077410859	211.201792533587
93.789055084	-152.578089371957	-1.50694409256304	203.060716472802
93.797575124	-166.665903759359	-1.64318496664192	191.665789323264
93.804398604	-180.259793932282	-1.61207945793032	178.940819830337
93.812298394	-192.283665369711	-1.51902829785163	165.953841540284
93.817752854	-203.503300145184	-1.65002675793399	151.98579803636
93.823030254	-211.657135147724	-1.51589711833693	140.409970585911
93.828207184	-218.662538606395	-1.73848308079298	129.227242338939
93.833101114	-224.972568058802	-1.63467806037184	117.901155104384
93.837936324	-230.393445409884	-1.44771464799852	106.924067573528
93.842739064	-235.073900446516	-1.66571408642257	96.1949884909574
93.847391444	-239.232290039812	-1.50460559773574	85.3326317572387
93.851976804	-242.729086206772	-1.74468345880782	74.8033032964244
93.856505844	-246.18925528523	-1.54558276860793	62.4857033593907
93.865396054	-249.937656189945	-1.57476471046722	45.218243829144
93.874166294	-252.786956238667	-1.59630915080833	24.7427918375239
93.883048364	-253.994702814376	-1.57620826214548	0.450345217756536
93.892020714	-253.110918197471	-1.56034912142903	-21.1761666479608
93.896605954	-251.241212282468	-1.74473064085105	-37.2936174481802
93.900856534	-248.907266515925	-1.646834466551	-50.5813443297935
93.905729284	-246.472478095042	-1.4365589897292	-61.3615911327384
93.910402754	-243.288229792473	-1.71179053503996	-72.9650715560527
93.915119344	-239.792086903536	-1.48412432212577	-83.7470153199815
93.919924144	-235.597637530119	-1.66500097194487	-94.9050554008238
93.924802264	-230.826440656286	-1.63997471158904	-105.983365736502
93.929850984	-225.205819698676	-1.58456161617415	-117.455629798868
93.935058864	-218.322667461359	-1.53613134537507	-129.80309868415
93.940446564	-211.2218963977	-1.67047193987512	-141.062074922895
93.945978944	-203.34843474124	-1.44603331371596	-152.195006268554
93.954563044	-191.633234724735	-1.63092114659382	-166.703440055376
93.961225094	-178.773854526416	-1.65114391250193	-180.424998438918
93.969680854	-164.976358710402	-1.53741409550975	-193.122862920494
93.975789354	-149.791323497199	-1.63706364477782	-205.124074690701
93.980575524	-139.150986760183	-1.46254790889035	-212.487317620275
93.985777014	-128.040037696832	-1.73027077968699	-219.359884402533
93.991920214	-114.435603765013	-1.62781797674239	-226.75504416026
93.996682824	-102.884633151191	-1.46978047358952	-232.225314826976
94.001395494	-90.1824996721595	-1.69755293500443	-237.445216783876
94.006000824	-79.4730804482542	-1.51997694846496	-241.242055677625
94.014942624	-63.521928597326	-1.56568133866602	-245.923804551972
94.019424194	-47.7511335873661	-1.56195296781058	-249.466202573249
94.026438174	-31.2233300722311	-1.71086740121815	-252.067797112797
94.032559244	-15.0300642126817	-1.47033236863198	-253.550648457418
94.041367004	2.72486803123527	-1.58950635155417	-253.98040774471
94.050336964	27.4248806320917	-1.67224881903008	-252.509571673532
94.059380154	48.8765417259155	-1.54812575602398	-249.248246719937
94.063992834	65.4717707187245	-1.73435154221849	-245.410743223832
94.068650654	77.9334371157671	-1.50284864961489	-241.743939923841
94.073385384	89.7622272521948	-1.47843668415481	-237.605895667568
94.078262984	100.869342014109	-1.64015190266756	-233.106589166756
94.085700264	113.751279197675	-1.61349332195289	-227.099185064859
94.090847424	129.391515996463	-1.55425244440248	-218.566749994026
94.098887074	143.663041880202	-1.61698661856481	-209.461958897197
94.107151034	159.729717956041	-1.5730957071426	-197.484014927467
94.114177874	174.331562978522	-1.70773775978967	-184.720301017243
94.120612134	187.278810902331	-1.55418100333964	-171.581582768609
94.125475684	195.947404673542	-1.64488902139293	-161.610346351945
94.130759354	204.213845774447	-1.51409709564053	-151.031185290093
94.136331714	212.297841489065	-1.61511460135389	-139.438227250214
94.141475094	219.311079350754	-1.55539772589101	-128.125887670341
94.146472224	226.129843756284	-1.60091924783264	-115.66641565587
94.154158524	233.011982358221	-1.56121931228295	-101.088950470317
94.161573184	239.930052095438	-1.61841519120031	-83.3483823468139
94.170494934	245.91585216848	-1.5691986920508	-63.5525470280434
94.174893834	249.380867099777	-1.59130908814759	-48.1939323839136
94.183600774	252.327337812211	-1.60791202975416	-29.0572673948517
94.192286814	253.855816573573	-1.61178296237222	-8.40429687522409
94.196789514	253.847522254966	-1.55462174609294	8.66146401394928
94.201445104	253.028828102781	-1.71836216029111	22.1239128137395
94.205997034	251.761506720121	-1.53781025047148	33.6121383317452
94.210584444	250.03198970749	-1.7439022821801	44.6874959808498
94.215241744	247.78310346834	-1.71773381953694	55.8263491349795
94.219937204	244.917535201037	-1.4908023881813	67.2990792378512
94.224689574	241.563530472042	-1.68336955032687	78.4871052840349
94.229539294	236.92099210717	-1.64958044983289	91.5517149656955
94.238280464	229.94625549683	-1.60161570992851	107.880258175876
94.246672524	220.565656175677	-1.66824375281392	125.952403337489
94.256705734	206.912945564255	-1.59470478276864	147.310854308269
94.262452884	195.053166342766	-1.56599330694467	162.689304665912
94.268647284	185.005662367897	-1.77579606112335	174.028013990045
94.275105534	172.33781432296	-1.54840803524641	186.58316824723
94.283457964	158.157528250454	-1.6761585128742	198.744509383614
94.290509124	143.238842970517	-1.5600270026486	209.752721538016
94.296374924	128.54171638992	-1.70479729960195	219.066452998738
94.303895114	112.098246466946	-1.59570457604197	227.919803611321
94.308725694	98.9529412519659	-1.65611617158017	233.926409235828
94.313441624	87.7875439653412	-1.69637766116652	238.341061393815
94.318093634	76.311116337047	-1.5047262376315	242.260924258744
94.323653054	62.9562189861916	-1.61887420250216	246.06887878032
94.331588994	44.8592157777451	-1.63811743008586	250.001921637754
94.340424644	25.351818732684	-1.69766643299238	252.725942991456
94.344835464	6.12131632786015	-1.58700793685454	253.921269896546
94.349379754	-5.06129336290511	-1.54039363218831	253.944893077976
94.358381254	-21.6630657837312	-1.66638967567175	253.069045412006
94.362929294	-38.258280774006	-1.53912623803421	251.097451976515
